,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C1_posY,C2_posX,C2_posY,C3_posX,C3_posY,C4_posX,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int
637,66532.39641901282,18281.64581176127,2,,4861,,3437,,,66533.4914565388,18239.00115296436,,,66531.30138148683,18324.290470558182,,265.3277460300173,,3.3803326073325985,,125368.07458965416,,1025.559630971144
638,117097.17865384501,38395.92018053389,2,2000,,,7049,117098.49312843294,38382.25213792757,,,,,117095.86417925709,38409.58822314021,3.003952474411109,,,2.038791871107344,820.460093504927,,,809.0514668698278
639,70228.3239135235,21089.752101667138,2,1373,,7001,,70257.88368596937,21147.442361505306,,,70198.76414107764,21032.06184182897,,,107.43545970444173,,111.13115127399723,,10737.750457994973,,19355.03569501914,
640,72180.80098752028,19303.448188714232,2,1404,5305,,,72147.29955558926,19306.76429542206,72214.30241945131,19300.1320820064,,,,,283.13874663119924,343.1871704692938,,,278629.0939406915,231282.77214369643,,
641,61072.339717555864,114988.05170124158,2,,,6013,3039,,,,,61040.15521151338,115016.42636916398,61104.52422359835,114959.67703331918,,,117.04084709364516,170.91881333048534,,,37395.963247609485,13087.778001944238
642,109764.60201557101,49000.94290858143,2,,,10606,6550,,,,,109739.12321394408,49022.63400773019,109790.08081719794,48979.25180943269,,,137.3706299687952,118.59388927912455,,,64476.47990236327,11754.06166054677
643,47077.45359502241,16533.37655758945,2,,3351,4489,,,,47098.38709124992,16471.03232352533,47056.52009879491,16595.720791653574,,,,119.00431019630052,176.52626507189106,,,20717.30628040465,85706.719166319,
644,73765.95995392665,46787.82000548771,2,1435,,,3922,73813.09549272865,46751.50402772517,,,,,73718.82441512466,46824.13598325025,318.1555307753022,,,83.82245956305499,119527.83548190368,,,1956.8710933658924
645,65801.72141335803,70321.09356518392,2,,4814,,3391,,,65800.13803908722,70374.69057066766,,,65803.30478762885,70267.49655970017,,139.6783985264931,,115.20894709585386,,17657.537599653864,,11718.59317062784
646,96292.5260931796,109244.51699681078,2,,,9501,5576,,,,,96299.895481561,109289.87913554462,96285.15670479818,109199.15485807694,,,241.01820515947955,147.27195384134046,,,94364.22219021848,12386.236541162476
647,38114.48538097784,109482.03743566769,2,,,3531,1571,,,,,38155.62995411812,109455.1079234831,38073.34080783756,109508.96694785228,,,139.8623416624473,120.08630201616558,,,26152.940116844708,11974.429213757208
648,131384.6809923205,15434.079207830497,2,,8600,11993,,,,131395.11980233726,15398.636041041853,131374.24218230374,15469.52237461914,,,,202.46615834639616,128.27487125003572,,,25862.339192169467,13642.541216759677,
