,x [nm],y [nm],n_match,C1_id,C2_id,C3_id,C4_id,C1_posX,C2_posX,C3_posX,C4_posX,C1_posY,C2_posY,C3_posY,C4_posY,C1_sigma,C2_sigma,C3_sigma,C4_sigma,C1_int,C2_int,C3_int,C4_int,C1_int_sig,C2_int_sig,C3_int_sig,C4_int_sig
9603,12595.777498076412,25098.62338897136,1,,,750,,,,12595.777498076412,,,,25098.62338897136,,0.0,0.0,97.05878158644106,0.0,104.5663773255224,116.09011184074858,31107.217891071963,55.75037519408884,,,3.3021097301687723,
9604,12561.43125745222,54671.874590792024,1,,,751,,,,12561.43125745222,,,,54671.874590792024,,0.0,0.0,131.65685900237958,0.0,104.5663773255224,116.09011184074858,46941.362163900594,55.75037519408884,,,2.7081250135143105,
9605,12650.123383517757,67030.02403314624,1,,,752,,,,12650.123383517757,,,,67030.02403314624,,0.0,0.0,120.38913932204431,0.0,104.5663773255224,116.09011184074858,47110.72078449612,55.75037519408884,,,3.250462272534035,
9606,12625.970134623518,90395.22071804297,1,,,753,,,,12625.970134623518,,,,90395.22071804297,,0.0,0.0,96.1007372089617,0.0,104.5663773255224,116.09011184074858,58219.57016298872,55.75037519408884,,,6.303990590066316,
9607,12611.839818153208,110466.88744018905,1,,,754,,,,12611.839818153208,,,,110466.88744018905,,0.0,0.0,115.08802304241405,0.0,104.5663773255224,116.09011184074858,47748.6687106007,55.75037519408884,,,3.6049646268170883,
9608,12686.358282191984,529.9205775329808,1,,,755,,,,12686.358282191984,,,,529.9205775329808,,0.0,0.0,114.11289821556619,0.0,104.5663773255224,116.09011184074858,40564.979176610286,55.75037519408884,,,3.115170246052665,
9609,12661.789666318755,28681.890772447885,1,,,756,,,,12661.789666318755,,,,28681.890772447885,,0.0,0.0,114.29497553767679,0.0,104.5663773255224,116.09011184074858,21763.3438642533,55.75037519408884,,,1.6659859941356434,
9610,12691.137386086268,71318.6290535788,1,,,757,,,,12691.137386086268,,,,71318.6290535788,,0.0,0.0,118.5428043946872,0.0,104.5663773255224,116.09011184074858,33655.565927447264,55.75037519408884,,,2.3950054348594008,
9611,12733.345959003098,23179.12913595747,1,,,758,,,,12733.345959003098,,,,23179.12913595747,,0.0,0.0,110.46628914770906,0.0,104.5663773255224,116.09011184074858,37821.17143308167,55.75037519408884,,,3.0993844212572816,
9612,12744.14571413162,100984.48935067355,1,,,759,,,,12744.14571413162,,,,100984.48935067355,,0.0,0.0,104.0504121507195,0.0,104.5663773255224,116.09011184074858,20846.28582613349,55.75037519408884,,,1.925489162199962,
9613,12716.210242909485,101958.2184591225,1,,,760,,,,12716.210242909485,,,,101958.2184591225,,0.0,0.0,112.73024044524848,0.0,104.5663773255224,116.09011184074858,103760.90383411763,55.75037519408884,,,8.16493777783639,
9614,15207.057367504396,95723.64078541381,1,,,913,,,,15207.057367504396,,,,95723.64078541381,,0.0,0.0,185.6356629549036,0.0,104.5663773255224,116.09011184074858,79039.4652675862,55.75037519408884,,,2.293618414475702,
9615,15321.293765724693,9456.539617856271,1,,,915,,,,15321.293765724693,,,,9456.539617856271,,0.0,0.0,112.16638313391199,0.0,104.5663773255224,116.09011184074858,81599.59461032874,55.75037519408884,,,6.485785315518666,
9616,19248.81381606867,18580.992329003584,1,,,1168,,,,19248.81381606867,,,,18580.992329003584,,0.0,0.0,100.67629751547426,0.0,104.5663773255224,116.09011184074858,38023.31278870823,55.75037519408884,,,3.751418200955622,
9617,17922.646681401606,59649.303467593185,1,,,1090,,,,17922.646681401606,,,,59649.303467593185,,0.0,0.0,103.1107365338459,0.0,104.5663773255224,116.09011184074858,9328.681159701258,55.75037519408884,,,0.8774299847087308,
9618,17766.5505186683,65228.251254864226,1,,,1076,,,,17766.5505186683,,,,65228.251254864226,,0.0,0.0,95.17087701421178,0.0,104.5663773255224,116.09011184074858,16301.849335697298,55.75037519408884,,,1.7998185854776148,
9619,17751.56885309494,76669.44271270074,1,,,1077,,,,17751.56885309494,,,,76669.44271270074,,0.0,0.0,108.90759785129946,0.0,104.5663773255224,116.09011184074858,134376.51786216613,55.75037519408884,,,11.32940298518953,
9620,17837.277201809455,16350.628889808997,1,,,1079,,,,17837.277201809455,,,,16350.628889808997,,0.0,0.0,116.1500769873548,0.0,104.5663773255224,116.09011184074858,30909.368190098423,55.75037519408884,,,2.291137342813031,
9621,17854.84190772305,41638.57445696534,1,,,1081,,,,17854.84190772305,,,,41638.57445696534,,0.0,0.0,106.05128662115743,0.0,104.5663773255224,116.09011184074858,240137.34963324075,55.75037519408884,,,21.351472406397246,
9622,17809.191904071176,50592.278493720994,1,,,1082,,,,17809.191904071176,,,,50592.278493720994,,0.0,0.0,119.91563106429956,0.0,104.5663773255224,116.09011184074858,85927.68868514059,55.75037519408884,,,5.975600233177764,
9623,17826.967452928468,62904.78275870504,1,,,1083,,,,17826.967452928468,,,,62904.78275870504,,0.0,0.0,98.14244781016909,0.0,104.5663773255224,116.09011184074858,49725.777546068966,55.75037519408884,,,5.162592086859087,
9624,17816.973494509148,98744.57813744774,1,,,1084,,,,17816.973494509148,,,,98744.57813744774,,0.0,0.0,116.59479908488129,0.0,104.5663773255224,116.09011184074858,126627.22140095053,55.75037519408884,,,9.314696747369393,
9625,17813.880753441954,123483.33981288885,1,,,1085,,,,17813.880753441954,,,,123483.33981288885,,0.0,0.0,115.32638735383915,0.0,104.5663773255224,116.09011184074858,97015.37025301004,55.75037519408884,,,7.294292423213127,
9626,17821.55592899598,123929.38066973025,1,,,1086,,,,17821.55592899598,,,,123929.38066973025,,0.0,0.0,115.72618512618575,0.0,104.5663773255224,116.09011184074858,40471.753978746914,55.75037519408884,,,3.02196028454912,
