Distance_(pixels),Gray_Value
1692,28182.148
1693,28265.926
1694,30542.703
1695,31134.186
1696,31266.371
1697,30177.852
1698,28587.000
1699,29183.482
1700,29952.814
1701,30331.000
1702,30773.518
1703,30728.260
1704,28661.963
1705,28580.889
1706,27605.408
1707,27352.260
1708,26700.555
1709,25937.963
1710,22840.334
1711,21358.408
1712,19489.629
1713,20687.777
1714,22045.852
1715,26093.111
1716,28564.445
1717,30968.371
1718,30952.445
1719,28188.555
1720,24928.482
1721,23195.297
1722,20924.223
1723,21413.703
1724,21077.371
1725,23306.148
1726,22854.074
1727,23654.408
1728,22467.482
1729,23618.482
1730,23135.074
1731,23956.777
1732,23178.408
1733,24264.445
1734,25563.371
1735,26743.592
1736,28366.148
1737,31724.037
1738,32555.074
1739,30826.260
1740,30030.703
1741,27152.889
1742,25205.297
1743,25122.445
1744,25129.777
1745,30358.037
1746,29664.518
1747,25800.740
1748,21808.074
1749,19568.963
1750,18632.740
1751,17028.000
1752,16687.445
1753,15892.000
1754,15159.963
1755,16380.593
1756,16073.000
1757,16507.703
1758,18628.592
1759,19927.592
1760,19704.926
1761,19144.852
1762,18662.666
1763,19849.260
1764,19868.074
1765,20742.555
1766,22911.334
1767,23507.408
1768,22808.371
1769,22837.666
1770,21001.260
1771,18781.740
1772,15067.296
1773,13439.667
1774,12439.074
1775,13694.814
1776,14375.000
1777,15950.407
1778,17800.334
1779,18229.740
1780,18528.889
1781,22398.260
1782,25152.814
1783,25168.297
1784,25904.555
1785,27433.852
1786,30272.963
1787,32914.965
1788,33604.000
1789,34569.332
1790,32672.482
1791,29851.297
1792,28943.518
1793,26212.777
1794,26532.555
1795,29902.482
1796,32079.334
1797,34086.555
1798,34060.371
1799,33549.480
1800,31931.148
1801,29720.777
1802,29472.518
1803,30488.518
1804,31191.297
1805,32269.777
1806,32748.037
1807,29584.000
1808,27517.666
1809,24912.074
1810,24721.371
1811,27063.334
1812,27127.889
1813,28046.000
1814,29762.223
1815,32396.371
1816,32145.297
1817,30506.518
1818,28865.223
1819,25793.186
1820,23299.963
1821,23063.371
1822,26057.445
1823,26938.371
1824,27387.074
1825,27278.852
1826,25607.408
1827,23343.148
1828,20061.186
1829,19008.666
1830,17676.666
1831,18507.334
1832,18817.445
1833,21458.518
1834,22508.000
1835,19914.555
1836,20216.666
1837,16549.889
1838,15956.593
1839,15668.296
1840,16467.703
1841,17358.518
1842,19252.445
1843,19620.889
1844,21978.111
1845,21241.629
1846,20819.963
1847,20230.555
1848,15548.074
1849,15332.556
1850,13980.556
1851,12915.296
1852,15402.963
1853,19194.408
1854,20439.926
1855,21675.445
1856,20099.592
1857,21916.703
1858,18772.777
1859,16741.037
1860,15459.186
1861,15605.444
1862,17480.408
1863,15614.519
1864,13948.519
1865,10512.444
1866,13454.814
1867,14152.037
