id,frame,x [nm],y [nm],sigma [nm],intensity [photon],log10(intensity),offset [photon],bkgstd [photon],chi2,uncertainty [nm]
29372,1,116336.2135,88079.71318,116.207,90795.26156,4.958,1079.386613,142.3896303,111.9245723,1.691754052
29373,1,116313.1279,96398.87742,111.444,48144.62609,4.683,816.1079596,154.9499621,223.0574549,3.149226009
29374,1,116302.541,97969.6647,108.797,48722.27423,4.688,815.9095822,138.4262439,151.5320746,2.661259461
29375,1,116346.7825,98947.01272,119.500,50978.46955,4.707,942.2073401,268.4028704,564.7887982,5.868332095
29376,1,116275.2056,103144.5824,146.324,115163.9072,5.061,825.3690036,540.6076288,1181.637438,7.824039537
29377,1,116314.3379,107157.6499,130.215,82021.56035,4.914,761.9318419,427.2855036,1050.306095,6.880817377
29378,1,116341.4708,124921.5498,99.324,23785.97308,4.376,796.4154489,157.806667,281.1665065,5.129202723
29379,1,116435.7506,24864.30989,128.326,55470.47011,4.744,1129.531619,138.2497805,121.6480874,3.237196116
29380,1,116405.3869,58178.48715,116.756,55445.79848,4.744,1167.007221,343.9160216,618.6173839,6.591233144
29381,1,116387.4299,62460.29761,125.035,75342.69532,4.877,728.3604501,165.5537221,167.389624,2.709473398
29382,1,116445.2281,65841.43845,150.719,51081.66142,4.708,776.1566985,222.1853653,476.6123609,7.709056722
29383,1,116404.899,70407.88963,102.727,45862.09127,4.661,912.5908253,163.1471802,225.3288448,2.958237977
29384,1,116364.8533,84763.18153,113.100,32638.43782,4.514,1096.395473,252.2472799,536.5924642,7.710111372
29385,1,116378.4906,92115.32553,111.169,33980.87033,4.531,863.9099087,173.0374425,312.6783606,4.929491988
29386,1,116359.2859,100184.5541,124.129,42003.58861,4.623,1027.857497,212.7491451,336.2011123,6.096597062
29387,1,116355.6669,101602.4361,114.701,51701.48624,4.714,764.4054585,253.6075573,469.5971441,5.041946031
29388,1,116374.7846,105223.0834,107.206,72918.73576,4.863,1026.235378,333.8547361,688.4430499,4.109759957
29389,1,116395.2831,116844.4287,116.147,80008.44141,4.903,512.8207275,142.0830615,160.8927853,1.907876359
29390,1,116366.4929,117839.1245,148.965,37002.58916,4.568,535.5579442,205.9320931,544.9409884,9.63049302
29391,1,116388.2269,121767.327,101.263,30966.19286,4.491,738.3757409,144.1441013,264.345589,3.755821245
29392,1,116436.9477,130899.1947,111.377,36093.62693,4.557,554.3471818,107.0465842,140.7355826,2.920640462
29393,1,116480.1164,3458.575433,152.247,54865.74344,4.739,646.8755576,138.2337549,179.8794259,4.586080821
29394,1,116452.7443,11382.75705,124.913,69641.32374,4.843,1056.668027,156.8365223,154.1979478,2.772806716
29395,1,116517.9281,12898.53419,161.134,107359.4478,5.031,1160.306366,328.7559306,547.3675012,6.199507958
29396,1,116418.0043,18007.37533,124.216,52629.16045,4.721,972.1637434,139.8887274,143.8191911,3.234312201
29397,1,116459.7181,27279.61539,133.998,29580.59846,4.471,1091.385413,189.9871764,315.1463431,8.997889159
29398,1,116383.6348,29127.71499,230.454,405098.5819,5.608,9.75E-11,341.0067712,457.1940562,3.493732468
29399,1,116446.2619,43228.07574,120.493,83782.48696,4.923,1145.520731,198.5293562,201.147151,2.706918645
29400,1,116449.5293,57172.07046,91.119,13836.34423,4.141,933.0777925,137.695719,220.0199299,6.470555769
29401,1,116466.8333,64114.44438,134.384,41190.37694,4.615,959.9110023,147.367795,181.6240603,5.06609539
29402,1,116449.1659,68003.0301,95.493,37198.38825,4.571,1564.032273,308.5764312,592.7018756,5.901118061
29403,1,116471.6535,78964.70592,143.970,39050.65555,4.592,980.2509849,188.6519518,306.1717752,7.817426232
29404,1,116491.7865,86779.08762,147.389,39163.35303,4.593,874.9960943,269.7338982,636.6700109,11.65334813
29405,1,116473.1579,91160.1644,152.383,104934.0739,5.021,948.1184112,511.867159,1361.858697,8.816648661
29406,1,116474.163,97046.09027,121.677,138649.7779,5.142,961.6659296,339.0338139,554.1039682,2.833223542
29407,1,116483.517,99682.16152,155.815,134014.4356,5.127,724.7789468,580.5710584,1900.272356,8.186105698
29408,1,116496.1281,112400.0838,126.462,54675.01976,4.738,596.8149606,344.9730516,839.5459447,7.861982288
29409,1,116473.042,113128.3765,114.073,60027.22332,4.778,803.1671427,144.0206526,162.703099,2.472048941
29410,1,116482.0717,115097.127,114.713,24659.98391,4.392,574.2328006,110.4422491,183.4259189,4.640086752
29411,1,116473.9137,115778.3032,116.314,33338.09952,4.523,678.461563,180.6803783,357.3832277,5.735308919
29412,1,116472.4182,125519.2383,109.786,35687.21051,4.553,847.0214953,265.2931833,604.7910914,6.988989782
29413,1,116461.5202,10053.26495,156.416,45348.12826,4.657,577.4859988,134.2015473,196.690283,5.675978919
29414,1,116552.0754,19102.68984,147.954,175261.6394,5.244,1272.241918,345.0742391,439.7104098,3.368822837
29415,1,116559.9981,23679.22096,152.382,101711.3441,5.007,894.2608775,248.884477,334.2283915,4.442402808
29416,1,116514.5176,25839.46714,116.399,64529.93587,4.810,1218.856622,261.6046236,428.9703094,4.294337001
29417,1,116509.7378,40563.44765,153.123,124995.5696,5.097,1177.393856,600.8078156,1564.316595,8.77041869
29418,1,116430.0465,59576.36403,130.411,66038.76985,4.820,1831.871496,705.6638984,2391.729764,14.13432061
29419,1,116528.78,80057.05741,120.334,261148.0345,5.417,1384.645562,497.2109923,691.1161487,2.15605821
29420,1,116568.3086,86549.72863,195.254,118605.9877,5.074,546.3696878,269.3171686,543.6969598,6.752541607
29421,1,116530.4104,90774.03578,106.981,157467.3969,5.197,1984.307721,424.7933672,629.7443822,2.415255978
29422,1,116492.1395,91514.18444,128.487,107306.2793,5.031,690.701676,250.8784479,332.2256715,3.026044428
29423,1,116490.6228,95875.48998,124.435,65040.00936,4.813,909.7875518,199.5116002,269.506914,3.724563641
29424,1,116513.5876,117517.5635,107.547,37055.92281,4.569,764.4533923,156.1151581,247.2253635,3.829626251
29425,1,116506.3699,118806.1362,106.392,22028.81885,4.343,640.2751537,130.5906891,208.5236049,5.266096614
29426,1,116515.6668,123244.4178,92.901,16843.02875,4.226,1004.125167,222.7567459,437.7131311,8.901790609
29427,1,116516.6415,129239.3243,113.605,26345.37307,4.421,620.1762434,140.0758093,262.3636871,5.380485089
29428,1,116553.8611,2661.905494,134.782,37446.76459,4.573,863.1416225,174.1874769,276.3871936,6.60539162
29429,1,116598.6489,4012.115965,132.264,28595.10403,4.456,1014.69474,135.1947215,169.7735446,6.4768648
29430,1,116628.6437,35481.63336,242.011,284028.0959,5.453,5.49E-15,202.9464956,226.3541731,3.284483797
29431,1,116626.7271,39436.80544,170.408,98724.42165,4.994,657.9253309,244.0122043,404.101208,5.605258741
29432,1,116607.0499,46688.82591,125.834,27635.70451,4.441,1112.147592,248.7850716,407.993799,11.10564018
29433,1,116616.1354,48118.15163,116.916,65924.08872,4.819,884.0683949,218.0531947,352.6880737,3.544302436
29434,1,116595.3792,69673.11826,128.059,57813.83088,4.762,846.0523715,210.3685194,409.4228754,4.669072424
